case,workers,binary,processes,cold_median_ms,cold_min_ms,cold_max_ms,warm_median_ms,warm_min_ms,warm_max_ms,peak_rss_kib
statistics,default,baseline,3,8.83014,8.66844,11.7429,10.1526,9.82609,14.849,919348
statistics,default,current,3,4.41113,4.34917,4.44043,1.31332,1.31323,1.34393,375216
binary,1,baseline,3,22.1877,22.1565,22.59,19.4017,19.0557,19.8211,120208
binary,1,current,3,15.7881,14.9429,16.2711,12.9851,12.5945,13.3326,116388
binary,2,baseline,3,15.3747,14.9226,18.0474,13.3416,13.0788,14.7891,138912
binary,2,current,3,12.4055,12.0254,17.6502,9.0343,8.93177,9.13601,126148
binary,4,baseline,3,74.285,73.4528,74.5284,69.4054,69.2803,69.7511,333832
binary,4,current,3,7.07972,6.98811,7.5051,4.66812,4.48696,5.21096,146292
binary,8,baseline,3,38.7347,37.6699,39.1694,37.2518,36.6846,37.5576,384948
binary,8,current,3,6.01083,5.40418,6.14853,4.20339,3.34235,4.71506,186784
binary,16,baseline,3,23.2496,22.8368,23.305,22.0336,21.4506,23.735,590248
binary,16,current,3,4.95318,4.71538,5.1355,3.06828,3.02919,3.20203,267984
binary,default,baseline,3,17.5195,17.4139,19.6249,17.8475,17.818,19.6924,975432
binary,default,current,3,5.56608,5.53566,5.70244,2.41457,2.34808,2.60549,392256
truth,1,baseline,3,5.95297,5.82654,6.48339,5.46096,5.39496,6.10125,71216
truth,1,current,3,3.99828,3.91542,4.10344,3.74443,3.66675,3.82288,71276
truth,2,baseline,3,3.69897,3.69746,4.0247,3.56343,3.56076,3.61075,104116
truth,2,current,3,4.27608,3.75654,6.46303,2.40171,2.26301,2.62518,93924
truth,4,baseline,3,4.31672,2.60405,4.76764,2.97258,2.86427,4.34945,169864
truth,4,current,3,3.04326,2.66291,4.0922,1.38068,1.37816,1.72791,124932
truth,8,baseline,3,3.85719,3.73312,4.35845,4.26723,3.76155,4.34187,300772
truth,8,current,3,3.44802,2.73755,3.65623,1.80245,1.3451,1.97501,165888
truth,16,baseline,3,8.75881,8.68395,8.77798,8.54061,8.4582,8.67441,575528
truth,16,current,3,3.14872,3.10732,3.19255,1.36169,1.32519,1.37689,247668
truth,default,baseline,3,6.99748,6.59733,9.02567,8.33102,7.09272,9.71802,786488
truth,default,current,3,3.61002,3.49982,3.72339,1.00395,1.00154,1.15224,370940
product,1,baseline,3,2.94287,2.89712,3.40243,2.67908,2.65909,6.12203,71204
product,1,current,3,2.06025,2.05807,2.07336,1.76825,1.75696,1.80061,71448
product,2,baseline,3,2.33631,2.11724,3.63577,1.87708,1.86414,3.16219,97892
