case,workers,binary,sha256,round,rows,groups,cold_ms,peak_rss_kib,result_sha256,warm_median_ms,warm_1_ms,warm_2_ms,warm_3_ms,warm_4_ms,warm_5_ms
float-key,default,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,4,1000000,65536,4.72359,826196,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,7.04304,6.36825,8.076,6.35272,7.93669,7.04304
float-key,default,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,5,1000000,65536,3.70525,809572,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,6.48782,5.41723,6.48782,4.7066,7.5643,8.50841
float-key,default,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,5,1000000,65536,4.84094,374852,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,2.21645,2.25807,2.20935,2.21645,2.26374,2.21285
clustered,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,125000,1.93778,200588,9226fbbc34dc78a0eb0d9731b6075244eb0d8c9daf05af27419f638bf9d95c9c,2.02544,2.02544,1.56233,2.37905,1.65232,2.05646
clustered,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,125000,2.58387,163440,9226fbbc34dc78a0eb0d9731b6075244eb0d8c9daf05af27419f638bf9d95c9c,0.758322,0.912167,0.826152,0.756079,0.758322,0.734024
clustered,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,125000,2.39215,163664,9226fbbc34dc78a0eb0d9731b6075244eb0d8c9daf05af27419f638bf9d95c9c,1.06646,1.18389,1.20364,1.06646,0.98011,1.063
clustered,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,2,1000000,125000,1.76735,200808,9226fbbc34dc78a0eb0d9731b6075244eb0d8c9daf05af27419f638bf9d95c9c,1.96428,2.12959,1.90693,3.28938,1.57154,1.96428
clustered,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,3,1000000,125000,2.2915,199660,9226fbbc34dc78a0eb0d9731b6075244eb0d8c9daf05af27419f638bf9d95c9c,1.55818,2.13285,1.33281,1.84089,1.32127,1.55818
clustered,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,3,1000000,125000,2.50632,163628,9226fbbc34dc78a0eb0d9731b6075244eb0d8c9daf05af27419f638bf9d95c9c,1.20434,1.19723,1.24949,1.06005,1.24485,1.20434
clustered,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,4,1000000,125000,2.86219,163748,9226fbbc34dc78a0eb0d9731b6075244eb0d8c9daf05af27419f638bf9d95c9c,1.29132,1.24258,1.30206,1.27134,1.40125,1.29132
clustered,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,4,1000000,125000,2.03672,200516,9226fbbc34dc78a0eb0d9731b6075244eb0d8c9daf05af27419f638bf9d95c9c,2.21067,2.43349,1.90843,2.80911,1.80601,2.21067
clustered,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,5,1000000,125000,1.91602,200580,9226fbbc34dc78a0eb0d9731b6075244eb0d8c9daf05af27419f638bf9d95c9c,2.23246,2.23246,1.81998,2.66468,1.67275,2.34898
clustered,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,5,1000000,125000,2.20893,163964,9226fbbc34dc78a0eb0d9731b6075244eb0d8c9daf05af27419f638bf9d95c9c,0.945608,1.48,1.03119,0.945608,0.940728,0.844593
sparse,default,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,5.85339,770704,01972ab0fd51c783c88722805ff688e4e3cedb929ff314dc14dcdc03d2d1c1c8,6.19572,6.48557,5.87007,6.93711,6.19252,6.19572
sparse,default,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,6.02654,731648,01972ab0fd51c783c88722805ff688e4e3cedb929ff314dc14dcdc03d2d1c1c8,6.17207,6.56527,6.17207,4.97523,5.35233,8.33468
sparse,default,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,65536,5.48535,764904,01972ab0fd51c783c88722805ff688e4e3cedb929ff314dc14dcdc03d2d1c1c8,5.8902,5.8902,6.7032,6.63667,5.40733,5.47557
sparse,default,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,2,1000000,65536,5.77954,762444,01972ab0fd51c783c88722805ff688e4e3cedb929ff314dc14dcdc03d2d1c1c8,7.2753,6.71253,7.08264,8.15809,7.2753,7.94827
sparse,default,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,3,1000000,65536,6.14774,762472,01972ab0fd51c783c88722805ff688e4e3cedb929ff314dc14dcdc03d2d1c1c8,6.41961,5.78266,5.3711,7.13558,6.41961,6.93821
sparse,default,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,3,1000000,65536,5.64653,758428,01972ab0fd51c783c88722805ff688e4e3cedb929ff314dc14dcdc03d2d1c1c8,5.65306,5.45036,5.2141,7.59995,5.65306,5.76106
sparse,default,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,4,1000000,65536,6.21397,754684,01972ab0fd51c783c88722805ff688e4e3cedb929ff314dc14dcdc03d2d1c1c8,6.30986,7.3652,5.63024,7.58338,6.30986,5.56642
sparse,default,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,4,1000000,65536,5.64822,764568,01972ab0fd51c783c88722805ff688e4e3cedb929ff314dc14dcdc03d2d1c1c8,6.09349,5.86747,6.09349,6.88886,5.80965,6.83491
sparse,default,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,5,1000000,65536,5.92019,758648,01972ab0fd51c783c88722805ff688e4e3cedb929ff314dc14dcdc03d2d1c1c8,6.12955,6.01398,6.12955,7.4184,5.37778,7.03939
sparse,default,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,5,1000000,65536,6.64159,764220,01972ab0fd51c783c88722805ff688e4e3cedb929ff314dc14dcdc03d2d1c1c8,5.66828,5.66828,5.10862,6.13426,5.19184,7.35541
truth,2,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,3.8932,103916,11d9f81debed2ffce7195bff361d2a6ba11cfaefa8a80b7c103e03b96dd7f669,3.73739,3.75188,3.71917,3.25946,3.81414,3.73739
truth,2,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,3.797,93900,11d9f81debed2ffce7195bff361d2a6ba11cfaefa8a80b7c103e03b96dd7f669,2.63265,2.70349,2.58027,2.63265,2.65063,2.58346
truth,2,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,65536,3.21388,93572,11d9f81debed2ffce7195bff361d2a6ba11cfaefa8a80b7c103e03b96dd7f669,2.29946,2.30607,2.29946,2.27144,2.26794,2.30962
truth,2,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,2,1000000,65536,3.99588,104120,11d9f81debed2ffce7195bff361d2a6ba11cfaefa8a80b7c103e03b96dd7f669,4.01798,4.53803,4.15629,3.78434,4.01798,3.80221
truth,2,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,3,1000000,65536,3.79856,104132,11d9f81debed2ffce7195bff361d2a6ba11cfaefa8a80b7c103e03b96dd7f669,3.61375,3.74329,3.66195,3.26275,3.61375,3.51488
truth,2,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,3,1000000,65536,3.32875,93720,11d9f81debed2ffce7195bff361d2a6ba11cfaefa8a80b7c103e03b96dd7f669,2.24444,2.32779,2.28947,2.24444,2.22725,2.21543
truth,2,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,4,1000000,65536,3.16824,93896,11d9f81debed2ffce7195bff361d2a6ba11cfaefa8a80b7c103e03b96dd7f669,2.26093,2.28994,2.26093,2.22803,2.24465,2.26638
truth,2,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,4,1000000,65536,5.99338,104076,11d9f81debed2ffce7195bff361d2a6ba11cfaefa8a80b7c103e03b96dd7f669,4.1834,6.4285,5.30611,3.78825,4.1834,3.97418
truth,2,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,5,1000000,65536,5.79375,103856,11d9f81debed2ffce7195bff361d2a6ba11cfaefa8a80b7c103e03b96dd7f669,3.8123,5.70675,3.65702,3.55608,3.82494,3.8123
truth,2,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,5,1000000,65536,3.3341,93808,11d9f81debed2ffce7195bff361d2a6ba11cfaefa8a80b7c103e03b96dd7f669,2.52676,2.72029,2.60725,2.52676,2.50474,2.49543
nonnull,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,2.9715,257984,37029694adc4216655775cf92fb184871eb4c04cc53f24d59c7cb8e89b05a218,3.372,3.372,3.64349,2.2009,1.96843,3.64738
nonnull,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,3.37439,165772,37029694adc4216655775cf92fb184871eb4c04cc53f24d59c7cb8e89b05a218,2.16021,2.46474,2.16021,2.2132,2.06917,1.99739
nonnull,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,2,1000000,65536,2.99883,165648,37029694adc4216655775cf92fb184871eb4c04cc53f24d59c7cb8e89b05a218,1.78269,1.92522,1.70567,1.78269,1.84131,1.37642
nonnull,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,2,1000000,65536,3.73568,257152,37029694adc4216655775cf92fb184871eb4c04cc53f24d59c7cb8e89b05a218,2.466,3.62276,2.95126,1.97798,1.68904,2.466
nonnull,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,3,1000000,65536,2.45408,257376,37029694adc4216655775cf92fb184871eb4c04cc53f24d59c7cb8e89b05a218,3.06972,3.06972,3.28028,2.82414,2.31564,3.19257
nonnull,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,3,1000000,65536,3.42815,165980,37029694adc4216655775cf92fb184871eb4c04cc53f24d59c7cb8e89b05a218,2.11112,2.19033,2.003,1.97775,2.11112,2.12308
